Location:,Skyway,
Type:,Trees,
Easting:,754146,
Northing:,4325861,
Surveyor:,J. Lund,
Time:,3/28/20 15:19,
Time Type:,PM,
Air Temp:,NA,
Hs:,131,
Ground:,"Smooth, grass ~10cm, shrub ~15cm",
Notes:,"New snow fell last night, this morning has consolidated.",
Wx:,"Overcast, calm. Sometimes sunlight shines through clouds.",
,,
Hs,Temperature,Notes
131,-5.2,
130,-4.3,
120,-3.4,
110,-4.9,
100,-4.6,
90,-4,
80,-3.5,
70,-3.1,
60,-2.7,
50,-2.5,
40,-2.3,
30,-2.1,
20,-1.9,
10,-1.7,
0,-1.2,